x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
9;2;0,846716603018848;5,8735456154273;3715982_IJMPO-34-47-g001;N;8;0,978021809656688;11635
2;14;4,80712011074394;6,93411133998635;3715982_IJMPO-34-47-g001;N;10;0,768094668851384;11649
10;2;5,20024492809721;7,01724769352085;3715982_IJMPO-34-47-g001;N;10;0,741488458580183;11663
10;2;64;7,86669329327902;3715982_IJMPO-34-47-g001;N;10;0,318488975275391;11665
11;2;1,89892400630049;6,35098543916145;3715982_IJMPO-34-47-g001;N;10;0,921932096186213;11670
2;12;3,61173471915448;6,73528178145387;3715982_IJMPO-34-47-g001;N;10;0,829526458548357;11678
32;2;1,80727389967565;6,31651972367977;3715982_IJMPO-34-47-g001;N;9;0,925836661689969;11686
49;2;16,4626774065713;7,63046213868581;3715982_IJMPO-34-47-g001;N;9;0,473232669875215;11693
50;2;13,078177617564;7,51849308565988;3715982_IJMPO-34-47-g001;N;9;0,517290860618718;11696
23;2;1,6391896528641;6,26455680229806;3715982_IJMPO-34-47-g001;N;9;0,936276281634514;11707
22;2;0;7,89456299290598;3715982_IJMPO-34-47-g001;N;2;0,277877636481366;11725
23;2;4,31948011647431;6,90743923631173;3715982_IJMPO-34-47-g001;N;2;0,784063339730485;11732
21;2;5,53970514582913;7,06738909475938;3715982_IJMPO-34-47-g001;N;2;0,725530497780044;11734
3;5;0,669452005754636;5,67046205326403;3715982_IJMPO-34-47-g001;N;2;0,986470364094113;11740
12;2;0;7,89088532779628;3715982_IJMPO-34-47-g001;N;2;0,280610008740573;11757
15;2;6,01089817230208;7,10399266085357;3715982_IJMPO-34-47-g001;N;18;0,706442883781775;11774
5;2;0,788875238735905;5,82371319079083;3715982_IJMPO-34-47-g001;N;18;0,981389823062905;11782
3;2;1,03074953996938;5,91651994325113;3715982_IJMPO-34-47-g001;N;18;0,970886113355078;11783
46;2;3,61723121226981;6,76909765582335;3715982_IJMPO-34-47-g001;N;18;0,821351936909909;11791
7;2;21,31198167214;7,71961333224528;3715982_IJMPO-34-47-g001;N;18;0,434508424287809;11793
18;2;4,09733376575917;6,85985005296005;3715982_IJMPO-34-47-g001;N;18;0,796806793469781;11794
27;2;4,04856474966101;6,84774068524184;3715982_IJMPO-34-47-g001;N;18;0,797876962076314;11795
30;2;9,05654262383394;7,33054919940644;3715982_IJMPO-34-47-g001;N;18;0,605980179697889;11806
27;2;7,58829752457143;7,23737790984487;3715982_IJMPO-34-47-g001;N;18;0,648945958672153;11808
18;2;29,0059639309814;7,79590908782977;3715982_IJMPO-34-47-g001;N;14;0,398353861344114;11817
34;2;9,23169956177703;7,33650724149029;3715982_IJMPO-34-47-g001;N;14;0,600402048485924;11837
22;2;0;7,89456299290598;3715982_IJMPO-34-47-g001;N;14;0,277877636481366;11843
25;2;0;7,89529881660061;3715982_IJMPO-34-47-g001;N;14;0,277208191009817;11848
2;17;3,575775380937;6,73387325515562;3715982_IJMPO-34-47-g001;N;14;0,830324975403845;11856
12;2;0;7,89088532779628;3715982_IJMPO-34-47-g001;N;14;0,280610008740573;11860
54;2;16,2438869953175;7,61796430719837;3715982_IJMPO-34-47-g001;N;19;0,474359525591431;11869
7;2;0,926316512532949;5,91524070731479;3715982_IJMPO-34-47-g001;N;19;0,975325159347652;11873
36;2;6,14177154966418;7,1164724866568;3715982_IJMPO-34-47-g001;N;19;0,701515788500346;11888
8;2;1,49202481549401;6,20017594386983;3715982_IJMPO-34-47-g001;N;19;0,945634477753335;11893
29;2;8,40140627180801;7,2953639797205;3715982_IJMPO-34-47-g001;N;19;0,624640346062158;11903
24;2;5,71111187676735;7,08163790256891;3715982_IJMPO-34-47-g001;N;19;0,718187619672663;11904
29;2;7,2786843919466;7,21917588183515;3715982_IJMPO-34-47-g001;N;19;0,660418866720021;11905
25;2;0;7,89529881660061;3715982_IJMPO-34-47-g001;N;16;0,277208191009817;11922
12;2;0,220241699061035;5,35287122599697;3715982_IJMPO-34-47-g001;N;16;0,99707326734742;11927
2;2;0,0777927509117404;5,14062526524298;3715982_IJMPO-34-47-g001;N;16;0,999242806491609;11930
48;2;3,41099653323555;6,73242823242532;3715982_IJMPO-34-47-g001;N;16;0,831630566243259;11932
13;2;1,33504319259957;6,14047122304625;3715982_IJMPO-34-47-g001;N;16;0,953295873798076;11939
20;2;0,367292090456836;5,48639601889655;3715982_IJMPO-34-47-g001;N;16;0,993561334137612;11946
14;2;0;7,89433536090172;3715982_IJMPO-34-47-g001;N;16;0,280604466340518;11954
19;2;6,47973827049978;7,16504917395512;3715982_IJMPO-34-47-g001;N;16;0,687849697102012;11959
14;2;85,1803283064104;7,87577204656245;3715982_IJMPO-34-47-g001;N;11;0,29942122551585;11960
38;2;95,8267303065406;7,87694468270902;3715982_IJMPO-34-47-g001;N;11;0,288755494121109;11965
12;2;0;7,89088532779628;3715982_IJMPO-34-47-g001;N;11;0,280610008740573;11969
13;2;3,29250456714234;6,70232895159095;3715982_IJMPO-34-47-g001;N;11;0,840495687259252;11983
26;2;15,3261664346315;7,60251714454464;3715982_IJMPO-34-47-g001;N;11;0,489104193995991;11985
67;2;1,07838053470148;5,99829265950758;3715982_IJMPO-34-47-g001;N;11;0,964891302591112;11989
68;2;0,710418501069263;5,72953925832644;3715982_IJMPO-34-47-g001;N;15;0,983007312239521;12001
2;4;0,109568484341999;5,19074906661394;3715982_IJMPO-34-47-g001;N;15;0,99872788423804;12006
14;2;0;7,89433536090172;3715982_IJMPO-34-47-g001;N;15;0,280604466340518;12030
55;2;12,2777973799295;7,48920107139439;3715982_IJMPO-34-47-g001;N;15;0,53133537850377;12033
30;2;8,03311417396414;7,27059188522192;3715982_IJMPO-34-47-g001;N;15;0,634648809196973;12042
25;2;25,1281228761176;7,75909847870499;3715982_IJMPO-34-47-g001;N;13;0,41354460334045;12046
14;2;1,41763397448571;6,16536172436368;3715982_IJMPO-34-47-g001;N;13;0,949485481193942;12047
62;2;12,9745127358846;7,51350029732321;3715982_IJMPO-34-47-g001;N;13;0,518611451275148;12058
24;2;2,37165042668512;6,51816550041144;3715982_IJMPO-34-47-g001;N;13;0,89208102394024;12059
19;2;3,64493358500037;6,7869687067617;3715982_IJMPO-34-47-g001;N;13;0,819957994546122;12064
23;2;16,7962892576274;7,64301838462431;3715982_IJMPO-34-47-g001;N;13;0,472960552702707;12071
