x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
5;2;0.486880242337563;6.82785980461708;1000_IM-0003-1001;S;4;0.989363256386684;8236
2;2;4.18675740094089;7.81025550742758;1000_IM-0003-1001;N;4;0.741307956636424;8237
2;129;1.97235575097056;7.36565291772035;1000_IM-0003-1001;S;4;0.891926550125787;8238
2;2;2.05692296481413;7.49849236368185;1000_IM-0003-1001;N;4;0.885165860995095;8239
2;2;4.75956300597801;7.84332980395169;1000_IM-0003-1001;S;4;0.725636605051617;8240
10;2;1.31916405176626;7.10979850597666;1000_IM-0003-1001;S;4;0.945733125982746;8241
2;11;0;7.98567884008192;1000_IM-0003-1001;N;4;0.588747114486885;8242
2;7;1.37381090298904;7.22715511138823;1000_IM-0003-1001;S;4;0.934081524337391;8243
2;5;0;7.97694065885707;1000_IM-0003-1001;N;4;0.635914858267615;8244
7;2;1.83429102595908;7.29881989745787;1000_IM-0003-1001;S;4;0.90872186940844;8245
2;12;4.46645932982864;7.86984109335199;1000_IM-0003-1001;N;4;0.715724723945478;8246
2;23;115.998308824175;7.98618219911029;1000_IM-0003-1001;N;9;0.553813181503453;8247
2;2;128;7.90943591537923;1000_IM-0003-1001;S;9;0.684564241971412;8248
2;4;128;7.97209801905558;1000_IM-0003-1001;N;9;0.64248797143906;8249
2;2;7.27017921487825;7.90915724883271;1000_IM-0003-1001;S;9;0.694222318131394;8250
2;6;0;7.98106651170226;1000_IM-0003-1001;N;9;0.619182978244237;8251
2;15;64;7.9857720524844;1000_IM-0003-1001;S;9;0.5720058897768;8252
310;2;2.73492870213909;7.28038172728502;1000_IM-0003-1001;S;9;0.837514247312449;8253
2;7;64;7.9828511619824;1000_IM-0003-1001;N;9;0.61236061042438;8254
2;16;0;7.98590266688878;1000_IM-0003-1001;S;9;0.567235791348139;8255
2;21;3.37446356087239;7.71586105438124;1000_IM-0003-1001;S;9;0.779706087131322;8256
2;13;4.48220357934326;7.86424067770001;1000_IM-0003-1001;S;9;0.714374748548345;8257
2;8;0;7.98562392537181;1000_IM-0003-1001;N;9;0.605856204872044;8258
2;2;1.23712955018979;7.24646690161757;1000_IM-0003-1001;N;9;0.949477933448715;8259
2;3;0;7.96902166400668;1000_IM-0003-1001;N;9;0.645809809509489;8260
5;2;1.12120668109483;7.08801541988155;1000_IM-0003-1001;S;9;0.95864763205277;8261
2;2;4.31072260058686;7.81696738862723;1000_IM-0003-1001;S;9;0.737700338191644;8262
2;129;0.568409725868378;6.84802138303917;1000_IM-0003-1001;S;9;0.983487207406702;8263
2;23;0;7.98618219911029;1000_IM-0003-1001;N;3;0.553813181503453;8264
2;2;7.16801635483888;7.9039408092065;1000_IM-0003-1001;N;3;0.695189740697457;8265
2;24;0;7.98624303138085;1000_IM-0003-1001;N;3;0.548656042578864;8266
2;6;47.179450609583;7.98106651170226;1000_IM-0003-1001;N;3;0.619182978244237;8267
2;15;2.44000792493564;7.54474386088506;1000_IM-0003-1001;N;3;0.850076590493047;8268
4;2;128;7.94152366073679;1000_IM-0003-1001;S;3;0.637749883347426;8269
2;129;0.282994812025287;6.85305144372711;1000_IM-0003-1001;N;3;0.992706184265747;8270
2;13;0;7.98479264174734;1000_IM-0003-1001;S;3;0.575104383056243;8271
4;2;0.734840548471027;6.94891461102956;1000_IM-0003-1001;S;3;0.979235303119565;8272
2;2;6.02859353500836;7.87720758846505;1000_IM-0003-1001;N;3;0.706619145476744;8273
8;6;2.03088647657128;7.08333177202401;1000_IM-0003-1001;S;3;0.892548212066639;8274
2;2;8.88860097443941;7.91266884054025;1000_IM-0003-1001;N;3;0.685663810207888;8275
11;2;3.70311026584113;7.55626532200779;1000_IM-0003-1001;S;3;0.782612057689664;8276
2;15;0;7.9857720524844;1000_IM-0003-1001;S;3;0.5720058897768;8277
5;2;0.854861894134466;6.9931203788029;1000_IM-0003-1001;S;3;0.973474487041434;8278
2;11;15.4013513806365;7.98441620413103;1000_IM-0003-1001;S;3;0.591175629352083;8279
8;2;2.13437336511535;7.35559324060156;1000_IM-0003-1001;S;3;0.887868430566204;8280
4;2;0.238996725452878;6.71532699148004;1000_IM-0003-1001;S;3;0.996303461207739;8281
2;199;3.26599099972342;7.61868027749582;1000_IM-0003-1001;S;7;0.783235460929483;8282
2;2;0;7.90943591537923;1000_IM-0003-1001;S;7;0.684564241971412;8283
2;2;7.14271505244222;7.90370356158506;1000_IM-0003-1001;N;7;0.695394566106188;8284
2;5;0;7.97694065885707;1000_IM-0003-1001;N;7;0.635914858267615;8285
2;17;6.07001736528023;7.93043290321197;1000_IM-0003-1001;S;7;0.65556985711168;8286
3;2;0;7.93671536544217;1000_IM-0003-1001;S;7;0.650731299590916;8287
2;25;24.1256745767008;7.98669420134631;1000_IM-0003-1001;N;7;0.54831245062003;8288
2;15;4.71239630163581;7.87578961888883;1000_IM-0003-1001;S;7;0.704557205650743;8289
6;2;1.24902123175846;7.13024907858174;1000_IM-0003-1001;S;7;0.950520082985839;8290
2;256;1.95865503264277;7.35636069045838;1000_IM-0003-1001;S;7;0.894186848629033;8291
2;11;0;7.98567884008192;1000_IM-0003-1001;N;7;0.588747114486885;8292
2;10;2.2174923279151;7.5029595750275;1000_IM-0003-1001;S;7;0.865831997414949;8293
2;8;0;7.98562392537181;1000_IM-0003-1001;N;7;0.605856204872044;8294
3;5;0.41951225852069;6.77462392446232;1000_IM-0003-1001;S;7;0.991075838521983;8295
4;2;1.15071893508244;7.12568156670113;1000_IM-0003-1001;S;7;0.956404285208406;8296
2;14;3.71731386489029;7.78399720471433;1000_IM-0003-1001;N;7;0.757577751238177;8297
2;3;128;7.96902166400668;1000_IM-0003-1001;N;7;0.645809809509489;8298
18;2;0.0441684372171807;6.64117912011401;1000_IM-0003-1001;S;7;0.999592348624271;8299
2;12;95.2994511900373;7.98592088168809;1000_IM-0003-1001;N;10;0.581581455418554;8300
2;3;0;7.96902166400668;1000_IM-0003-1001;N;10;0.645809809509489;8301
2;8;0;7.98562392537181;1000_IM-0003-1001;N;10;0.605856204872044;8302
312;2;3.59834551264535;7.41354421209833;1000_IM-0003-1001;S;10;0.787895665059272;8303
2;23;82.3948835112294;7.98618219911029;1000_IM-0003-1001;N;10;0.553813181503453;8304
2;179;1.70099643932934;7.25722063604556;1000_IM-0003-1001;S;10;0.913720887569257;8305
11;2;3.70034803681758;7.55626532200779;1000_IM-0003-1001;S;10;0.782612057689664;8306
2;256;1.70099643932934;7.35636069045838;1000_IM-0003-1001;S;10;0.894186848629033;8307
3;2;0;7.93671536544217;1000_IM-0003-1001;S;10;0.650731299590916;8308
15;2;5.07926437117741;7.67981061215095;1000_IM-0003-1001;S;10;0.702017670760725;8309
2;129;0.763078665252777;6.94498731406346;1000_IM-0003-1001;S;10;0.979577673973742;8310
3;2;0.289794812319599;6.76322855902142;1000_IM-0003-1001;S;10;0.995254695302066;8311
2;6;110.914326397501;7.98106651170226;1000_IM-0003-1001;N;10;0.619182978244237;8312
2;24;0;7.98624303138085;1000_IM-0003-1001;N;10;0.548656042578864;8313
8;2;1.59152033476926;7.21279461289051;1000_IM-0003-1001;S;10;0.926249341714608;8314
2;129;1.31704364930086;7.1582021519604;1000_IM-0003-1001;S;10;0.940398711601469;8315
20;2;4.92762181075791;7.65909728616748;1000_IM-0003-1001;S;10;0.704019675255553;8316
2;134;1.64140617464066;7.30341598417138;1000_IM-0003-1001;S;10;0.908511136038354;8317
2;2;7.67021525796926;7.91139314124514;1000_IM-0003-1001;S;10;0.691195971470407;8318
2;8;0;7.98562392537181;1000_IM-0003-1001;N;18;0.605856204872044;8319
2;24;0;7.98624303138085;1000_IM-0003-1001;N;18;0.548656042578864;8320
2;2;0;7.90943591537923;1000_IM-0003-1001;S;18;0.684564241971412;8321
7;2;2.92049454487115;7.52219699307014;1000_IM-0003-1001;S;18;0.831318713168655;8322
2;4;0;7.97209801905558;1000_IM-0003-1001;N;18;0.64248797143906;8323
2;2;6.36005169049699;7.87672719252711;1000_IM-0003-1001;S;18;0.703007046881584;8324
2;129;3.75421322960925;7.6818644672713;1000_IM-0003-1001;S;18;0.76344606414503;8325
7;2;1.94236909896615;7.32642660479093;1000_IM-0003-1001;S;18;0.900438266825707;8326
2;15;5.69982079394204;7.92318453723085;1000_IM-0003-1001;N;18;0.667892424088421;8327
2;12;0;7.98592088168809;1000_IM-0003-1001;N;18;0.581581455418554;8328
2;7;0;7.9828511619824;1000_IM-0003-1001;N;18;0.61236061042438;8329
5;2;0.941478397111837;7.02894260723993;1000_IM-0003-1001;S;18;0.968955902767051;8330
3;2;0.251918803421475;6.74445256607716;1000_IM-0003-1001;S;18;0.996139519171079;8331
3;2;0;7.93671536544217;1000_IM-0003-1001;S;18;0.650731299590916;8332
6;2;1.27492369414339;7.13839591333344;1000_IM-0003-1001;S;18;0.948966943508892;8333
2;6;0.473849141358905;6.88917669326802;1000_IM-0003-1001;S;18;0.988738188518581;8334
